Date,stock,value,change
4/20/2007,AAPL,12.035192,2.792128285
4/20/2007,GSPC,1484.349976,-0.230398629
4/23/2007,MSFT,23.16448,0.034747165
4/23/2007,IBM,79.050249,3.445015081
4/23/2007,SBUX,14.463686,-0.728534898
4/23/2007,AAPL,12.37123,-0.28874251
4/23/2007,GSPC,1480.930054,-0.03511442
4/24/2007,MSFT,23.172529,0.694684641
4/24/2007,IBM,81.773542,3.015536492
4/24/2007,SBUX,14.358313,1.595403304
4/24/2007,AAPL,12.335509,2.262979177
4/24/2007,GSPC,1480.410034,1.013908961
4/25/2007,MSFT,23.333505,0.379441494
4/25/2007,IBM,84.239453,-0.551939719
4/25/2007,SBUX,14.587386,-0.062814544
4/25/2007,AAPL,12.614659,3.660201992
4/25/2007,GSPC,1495.420044,-0.078241829
4/26/2007,MSFT,23.422042,3.505155528
4/26/2007,IBM,83.774502,0.26758858
4/26/2007,SBUX,14.578223,-1.005657548
4/26/2007,AAPL,13.076381,1.092672353
4/26/2007,GSPC,1494.25,-0.012049791
4/27/2007,MSFT,24.243021,-0.597611164
4/27/2007,IBM,83.998673,1.027973382
4/27/2007,SBUX,14.431616,-1.523807174
4/27/2007,AAPL,13.219263,-0.120097467
4/27/2007,GSPC,1494.069946,-0.783092588
4/30/2007,MSFT,24.098142,1.536404757
4/30/2007,IBM,84.862157,0.939241976
4/30/2007,SBUX,14.211706,-0.032241027
4/30/2007,AAPL,13.203387,-0.330657581
4/30/2007,GSPC,1482.369995,0.26511964
5/1/2007,MSFT,24.468387,0.69079339
5/1/2007,IBM,85.659218,-0.920806912
5/1/2007,SBUX,14.207124,0.773942706
5/1/2007,AAPL,13.159729,0.924905065
5/1/2007,GSPC,1486.300049,0.647244478
5/2/2007,MSFT,24.637413,1.176081271
5/2/2007,IBM,84.870462,0.567404711
5/2/2007,SBUX,14.317079,1.18400548
5/2/2007,AAPL,13.281444,0.009961266
5/2/2007,GSPC,1495.920044,0.432507809
5/3/2007,MSFT,24.927169,-1.323860724
5/3/2007,IBM,85.352021,0.155638963
5/3/2007,SBUX,14.486594,-2.9095521
5/3/2007,AAPL,13.282767,0.408356181
5/3/2007,GSPC,1502.390015,0.214989448
5/4/2007,MSFT,24.597168,0.490836994
5/4/2007,IBM,85.484862,0.194254276
5/4/2007,SBUX,14.065099,-1.140063074
5/4/2007,AAPL,13.337008,3.085017269
5/4/2007,GSPC,1505.619995,0.256371795
5/7/2007,MSFT,24.7179,0.130253784
5/7/2007,IBM,85.65092,0.515760952
5/7/2007,SBUX,13.904748,-0.560132409
5/7/2007,AAPL,13.748457,1.09699583
5/7/2007,GSPC,1509.47998,-0.116597042
5/8/2007,MSFT,24.750096,0.097563258
5/8/2007,IBM,86.092674,1.055277944
5/8/2007,SBUX,13.826863,-0.463879623
5/8/2007,AAPL,13.899277,1.7323491
5/8/2007,GSPC,1507.719971,0.32234003
5/9/2007,MSFT,24.774243,-0.649775656
5/9/2007,IBM,87.001191,0.287414456
5/9/2007,SBUX,13.762723,-1.664452594
5/9/2007,AAPL,14.140061,0.430387111
5/9/2007,GSPC,1512.579956,-1.39562771
5/10/2007,MSFT,24.613266,1.01372975
5/10/2007,IBM,87.251245,1.241882566
5/10/2007,SBUX,13.533649,0.236964916
5/10/2007,AAPL,14.200918,1.304260753
5/10/2007,GSPC,1491.469971,0.964149817
5/11/2007,MSFT,24.862778,0.258985541
5/11/2007,IBM,88.334803,-0.386869035
5/11/2007,SBUX,13.565719,-2.397838257
5/11/2007,AAPL,14.386135,0.57017399
5/11/2007,GSPC,1505.849976,-0.179297542
5/14/2007,MSFT,24.927169,0.097183118
5/14/2007,IBM,87.993063,-0.70095412
5/14/2007,SBUX,13.240435,-1.764707882
5/14/2007,AAPL,14.468161,-1.682522057
5/14/2007,GSPC,1503.150024,-0.130398361
5/15/2007,MSFT,24.951394,0.550161646
5/15/2007,IBM,87.376272,0.992082839
5/15/2007,SBUX,13.00678,-0.669243272
5/15/2007,AAPL,14.224731,-0.167405626
5/15/2007,GSPC,1501.189941,0.862653928
5/16/2007,MSFT,25.088667,-0.289668638
5/16/2007,IBM,88.243117,-0.528955703
5/16/2007,SBUX,12.919733,0.957442387
5/16/2007,AAPL,14.200918,1.956401692
5/16/2007,GSPC,1514.140015,-0.091802276
5/17/2007,MSFT,25.015993,-0.484182259
5/17/2007,IBM,87.77635,2.544868863
5/17/2007,SBUX,13.043432,1.685990313
5/17/2007,AAPL,14.478745,0.529969966
5/17/2007,GSPC,1512.75,0.661047761
5/18/2007,MSFT,24.89487,0.713588784
5/18/2007,IBM,90.010143,-0.879708635
5/18/2007,SBUX,13.263343,1.139893615
5/18/2007,AAPL,14.555478,1.781494225
5/18/2007,GSPC,1522.75,0.154324479
5/21/2007,MSFT,25.072517,-1.159412914
5/21/2007,IBM,89.218316,-0.317642176
5/21/2007,SBUX,13.414531,-0.922134363
5/21/2007,AAPL,14.814783,1.393101742
5/21/2007,GSPC,1525.099976,-0.064256837
5/22/2007,MSFT,24.781823,-0.35842803
5/22/2007,IBM,88.934921,-1.049667543
5/22/2007,SBUX,13.290831,-0.413653593
5/22/2007,AAPL,15.021168,-0.572492099
5/22/2007,GSPC,1524.119995,-0.120723172
5/23/2007,MSFT,24.692998,-1.340744449
5/23/2007,IBM,88.0014,-1.543857257
5/23/2007,SBUX,13.235853,-2.007615225
5/23/2007,AAPL,14.935173,-1.948795638
5/23/2007,GSPC,1522.280029,-0.970256373
5/24/2007,MSFT,24.361928,1.027508989
5/24/2007,IBM,86.642784,1.183264148
5/24/2007,SBUX,12.970128,1.059704268
5/24/2007,AAPL,14.644117,2.647035666
5/24/2007,GSPC,1507.51001,0.545268021
5/25/2007,MSFT,24.612249,1.017066746
5/25/2007,IBM,87.667997,0.694051445
5/25/2007,SBUX,13.107573,-0.139812305
5/25/2007,AAPL,15.031752,0.642493304
5/25/2007,GSPC,1515.72998,0.157020382
5/29/2007,MSFT,24.862572,1.039297141
5/29/2007,IBM,88.276458,0.963078967
5/29/2007,SBUX,13.089247,0.455022355
5/29/2007,AAPL,15.12833,3.865324196
5/29/2007,GSPC,1518.109985,0.798360799
5/30/2007,MSFT,25.120968,-1.350047498
5/30/2007,IBM,89.12663,-0.308614833
5/30/2007,SBUX,13.148806,0.383274344
5/30/2007,AAPL,15.713089,2.037549714
5/30/2007,GSPC,1530.22998,0.025487345
5/31/2007,MSFT,24.781823,-0.325843664
5/31/2007,IBM,88.851572,-0.056282628
5/31/2007,SBUX,13.199202,1.110718663
5/31/2007,AAPL,16.033251,-2.302165668
5/31/2007,GSPC,1530.619995,0.37370288
6/1/2007,MSFT,24.701073,0.424973441
6/1/2007,IBM,88.801564,-0.290968974
6/1/2007,SBUX,13.345808,-1.029858964
6/1/2007,AAPL,15.664139,2.474658837
6/1/2007,GSPC,1536.339966,0.184860647
6/4/2007,MSFT,24.806046,-0.455727608
6/4/2007,IBM,88.543179,-0.36713387
6/4/2007,SBUX,13.208365,-0.832464881
6/4/2007,AAPL,16.051773,1.104432513
6/4/2007,GSPC,1539.180054,-0.534706968
